BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2025-08-27,1501.21,1507.0,1489.0,12647,1.89501269E7,271
2025-08-26,1495.95,1525.0,1495.0,9733,1.46587463E7,236
2025-08-25,1505.7,1554.0,1485.0,52420,7.9462395E7,810
2025-08-24,1467.23,1474.2,1455.0,7367,1.08128517E7,192
2025-08-21,1465.29,1472.4,1452.0,5897,8642358.3,134
2025-08-20,1464.88,1487.9,1460.0,13325,1.95993154E7,153
2025-08-19,1475.18,1497.5,1465.0,13246,1.95651489E7,165
2025-08-18,1468.63,1474.0,1440.0,7683,1.12163125E7,181
2025-08-17,1451.86,1490.0,1450.0,23076,3.38155811E7,309
2025-08-14,1457.28,1470.0,1426.0,7654,1.11502746E7,165
2025-08-13,1450.51,1470.0,1420.0,13039,1.89575389E7,204
2025-08-12,1423.01,1440.0,1416.0,8097,1.15584209E7,169
2025-08-11,1432.2,1475.0,1427.0,9448,1.36256424E7,250
2025-08-07,1470.77,1498.0,1470.0,5347,7897764.9,156
2025-08-06,1470.46,1475.0,1435.0,12564,1.84068318E7,280
2025-08-05,1444.23,1501.0,1410.5,12215,1.76623271E7,300
2025-08-04,1426.71,1444.3,1400.0,8482,1.20270445E7,252
2025-08-03,1416.17,1451.0,1415.0,23545,3.35441463E7,465
2025-07-31,1459.58,1508.0,1455.0,25960,3.83113202E7,458
2025-07-30,1481.57,1545.0,1480.0,21333,3.2003352E7,466
2025-07-29,1525.2,1568.0,1512.0,18680,2.85786582E7,394
2025-07-28,1508.57,1520.0,1480.0,21859,3.28149777E7,454
2025-07-27,1516.57,1549.0,1515.0,24665,3.76788324E7,436
2025-07-24,1521.35,1539.7,1506.0,12087,1.8401883E7,327
2025-07-23,1534.46,1550.0,1527.0,20736,3.18604321E7,387
2025-07-22,1547.86,1580.6,1491.0,25554,3.95383697E7,584
2025-07-21,1506.0,1515.0,1476.0,23701,3.54967304E7,450
2025-07-20,1501.52,1539.3,1490.0,27416,4.15413484E7,499
2025-07-17,1509.18,1527.1,1500.0,18725,2.83040073E7,361
2025-07-16,1497.27,1515.0,1495.0,17412,2.61523322E7,296
2025-07-15,1496.78,1509.5,1481.1,12621,1.88501263E7,268
2025-07-14,1487.38,1510.0,1460.0,39237,5.85885029E7,683
2025-07-13,1480.62,1485.0,1360.0,48881,7.11391904E7,1004
2025-07-10,1350.75,1359.0,1336.0,8878,1.19909994E7,195
2025-07-09,1326.85,1346.0,1320.0,6836,9120193.5,131
2025-07-08,1319.94,1330.0,1314.0,3305,4368187.2,115
2025-07-07,1332.61,1347.9,1330.5,4057,5427399.6,120
2025-07-06,1342.02,1365.0,1333.0,14404,1.942109E7,234
2025-07-03,1341.42,1342.9,1323.0,5509,7357876.5,133
2025-07-02,1334.4,1350.0,1321.0,10625,1.42413823E7,183
2025-07-01,1336.24,1340.0,1311.0,7491,9919297.8,201
2025-06-30,1315.08,1329.0,1312.0,4532,5975885.1,144
2025-06-29,1311.91,1320.0,1290.0,11579,1.50873671E7,209
2025-06-26,1295.28,1303.0,1285.1,6501,8416283.2,126
2025-06-25,1290.24,1300.1,1286.1,4150,5376596.1,101
2025-06-24,1298.61,1302.0,1284.0,9410,1.21997227E7,180
2025-06-23,1284.48,1300.0,1281.1,2226,2863345.2,87
2025-06-22,1281.91,1300.0,1272.0,10673,1.37218929E7,169
2025-06-19,1283.94,1300.0,1280.1,6548,8414414.8,166
2025-06-18,1291.91,1315.0,1287.0,3825,4947671.4,121
2025-06-17,1290.26,1309.0,1279.0,5159,6681743.3,132
2025-06-16,1284.45,1298.0,1282.0,4532,5836339.2,163
2025-06-15,1282.8,1299.0,1280.0,5203,6695577.9,173
2025-06-12,1293.56,1300.0,1290.0,5107,6610521.3,133
2025-06-11,1295.94,1316.0,1294.0,3526,4574967.5,83
2025-06-10,1294.06,1315.0,1291.0,4133,5351682.1,124
2025-06-09,1291.97,1299.9,1290.0,3291,4254876.5,113
2025-06-08,1290.75,1295.0,1286.0,3789,4888154.8,117
2025-06-05,1291.73,1315.0,1290.0,4799,6213671.3,139
2025-06-04,1297.33,1305.0,1296.0,4235,5498734.1,106
2025-06-03,1301.02,1310.0,1300.0,4528,5903778.2,113
2025-06-02,1305.18,1341.0,1302.0,6143,8046287.3,179
2025-05-28,1306.2,1325.0,1302.0,3743,4891318.1,124
2025-05-27,1317.71,1330.0,1304.0,3488,4609842.8,116
2025-05-26,1330.38,1363.8,1330.0,7600,1.01819078E7,174
2025-05-25,1337.06,1343.0,1318.0,10235,1.3643089E7,236
2025-05-22,1316.44,1324.0,1291.1,9203,1.20830213E7,223
2025-05-21,1299.17,1335.0,1299.0,5432,7094383.2,155
2025-05-20,1297.77,1300.0,1272.0,3005,3890789.4,112
2025-05-19,1294.32,1310.0,1274.0,11991,1.54567797E7,213
2025-05-18,1300.84,1309.0,1288.0,3873,5039872.8,146
2025-05-15,1297.33,1301.0,1285.1,4875,6319434.9,154
